Time-step,Amplitude
0,0.09260276521146397
1,0.18953861460718038
2,0.1549118167186228
3,0.18054385779577234
4,0.017437254990257063
5,0.018904196128413486
6,0.049153254096523255
7,0.17521800513897562
8,0.01847423405954637
9,0.16671077965559716
10,0.09023886426345366
11,0.09596866004605571
12,0.109175977678819
13,0.09720445367498674
14,0.1803918678132193
15,0.14190536757364733
16,0.022177185772681414
17,0.061225716003627174
18,0.1074107438154421
19,0.07290874093188922
20,0.1137260183357373
21,0.07697900487935404
22,0.1253875855782611
23,0.02582396727868943
24,0.0330066150597061
25,0.1380244257633656
26,0.17536009017496296
27,0.15959220206604413
28,0.0987279763283242
29,0.06482811866689561
30,0.10228787736905412
31,0.11541379210549339
32,0.08638406539375391
33,0.09008481080037149
34,0.08537255443907266
35,0.13220188603179456
36,0.10253341237844564
37,0.02372672096114884
38,0.10832844789529314
39,0.07951064090828586
40,0.10903252019801868
41,0.02337626475007365
42,0.10474205369512127
43,0.17431229470226922
44,0.1712758839924281
45,0.10762361315788511
46,0.11959951014564085
47,0.07243183117871092
48,0.05486300469414486
49,0.06229284044245232
50,0.15788368930308835
51,0.023142209303465326
52,0.23664465235270116
53,0.1001878670095603
54,0.07267834342102672
55,0.05754213583774142
56,0.08642856667519902
57,0.1620080275685351
58,0.16319649178978163
59,0.0509134867534655
60,0.11859030123261168
61,0.046104982318342584
62,0.18867767582174547
63,0.1809047523648061
64,0.16045024045815676
65,0.10911840210177473
66,0.11572274978913162
67,0.0964700839512262
68,0.07185228031547718
69,0.14061452543632394
70,0.1786577751508239
71,0.17510254824144728
72,0.11252972767177874
73,0.07707432330198964
74,0.24228358569685104
75,0.07763025618066649
76,0.14865669310274376
77,0.23626379384839125
78,0.17136274956418115
79,0.16843726978111523
80,0.21036479338433797
81,0.2485551336587891
82,0.23949155168539865
83,0.09543977054640132
84,0.22281832973299853
85,0.07344627064739115
86,0.10533507227990065
87,0.01692192723898628
88,0.062364586687876485
89,0.0551909227461765
90,0.16624966260480412
91,0.04288899447300321
92,0.013072622351147051
93,0.1869081673543079
94,0.012427738074953627
95,0.11174876465997986
96,0.1410905778023164
97,0.17521222077338602
98,0.1414747620247291
99,0.05736260207805242
100,0.05707267938991341
101,0.02639175175116492
102,0.19078771613030976
103,0.16139150909091038
104,0.05193196012841924
105,0.10140270920334571
106,0.10309538242385048
107,0.14307313951882902
108,0.04047992652234662
109,0.11884840601034895
110,0.2679507434502362
111,0.1686399358653486
112,0.34497916066621603
113,0.19573658427179125
114,0.2814113992678206
115,0.3373551143123539
116,0.03449807083377821
117,0.13052432674332895
118,0.15562898810308531
119,0.1655628845382948
120,0.014676241271753685
121,0.10317777882969227
122,0.4073997841373656
123,0.446884321446523
124,0.3097197673615359
125,0.06754962863083766
126,0.1632069167532681
127,0.035248788294035154
128,0.33163075071886366
129,0.19497174726719083
130,0.1468033301636612
131,0.4116095324537017
132,0.01987394358992889
133,0.44292895239451185
134,0.05115452530872314
135,0.03167447975557907
136,0.06848651496277806
137,0.24349703272041384
138,0.1870229095488693
139,0.4265735210379538
140,0.27632968710483
141,0.17548030988177588
142,0.44778649439499674
143,0.4057853094155094
144,0.11636854740086831
145,0.38841216423208874
146,0.06095915905247246
147,0.15597003218339558
148,0.10337168765208404
149,0.380987780427261
150,0.3179600908987027
151,0.08208322435666436
152,0.07388526128818391
153,0.022446708373315485
154,0.10401376979028783
155,0.22920729551624186
156,0.4129507587390244
157,0.41372312028606856
158,0.4279534124135485
159,0.1546348663544912
160,0.04818908127977017
161,0.12682715355850024
162,0.41062999260479804
163,0.43368061795307683
164,0.13437401195045373
165,0.04533465034572327
166,0.43541507893471854
167,0.20812076409717387
168,0.20470257445132214
169,0.2346334238099202
170,0.06879470384285287
171,0.43296427382714026
172,0.29041680363565375
173,0.33720251469519047
174,0.26830787240106685
175,0.2214688788922312
176,0.3752119113924964
177,0.18547459131154778
178,0.01081286068416226
179,0.22009042664522108
180,0.05588858452948912
181,0.6300250533028783
182,0.7222626770671183
183,0.12757322200230145
184,0.19398224466754338
185,0.1567775731860542
186,0.5015647667524071
187,0.24574037773087878
188,0.5775579913362744
189,0.39490588164080986
190,0.1746095389251336
191,0.16000261751726208
192,0.4687139116794022
193,0.4072086266605944
194,0.16212831738697467
195,0.28977250779727465
196,0.5692733365788967
197,0.1103979410304672
198,0.35557057033977296
199,0.3367619821050581
200,0.557382961348853
201,0.8940137304242383
202,0.5879213289904297
203,0.16776689554011334
204,0.11314767543947471
205,0.32075152857928246
206,0.7249903596484204
207,0.34083352136264167
208,0.4085008984273322
209,0.05067868103215358
210,0.020856475320241
211,0.17169972489593038
212,0.48493521077511087
213,0.4202877959617444
214,0.2452770702530997
215,0.40784592781122103
216,0.5541162445419944
217,0.05920729362698052
218,0.0781778195744683
219,0.13499203812373398
220,0.4307853090443305
221,0.40603331779750246
222,0.17875207320768302
223,0.3845297261646853
224,0.09394003248819213
225,0.12708771642087882
226,0.3530704245482099
227,0.2511374329765051
228,0.21569872409701876
229,0.47342039379176215
230,0.32553362779421785
231,0.03445129115821837
232,0.3048344498547024
233,0.40524524654706423
234,0.10410403299521155
235,0.19028049694737373
236,0.027995031361044517
237,0.29014516699070314
238,0.24558065739232562
239,0.4088402112267222
240,0.24848273278214852
241,0.20254745517997558
242,0.18916342656200616
243,0.030450325807116
244,0.24223839996057597
245,0.282045619401862
246,0.19809196505733967
247,0.21293510029549023
248,0.1380982374984099
249,0.10807046269055463
250,0.1435401810587786
251,0.3973571221921592
252,0.33938246703021163
253,0.2480987488523096
254,0.013200704274791664
255,0.12017181402028673
256,0.0514802089819178
257,0.1498304456399827
258,0.4375139257206789
259,0.200189147046352
260,0.1812813859417081
261,0.10767923136526315
262,0.04260191828976877
263,0.08465860509859356
264,0.1476376768830893
265,0.11090733416890952
266,0.06350134134941074
267,0.18599558468158908
268,0.10321217263858307
269,0.015046447942103112
270,0.15071214398771482
271,0.1447495092188527
272,0.1701929185927615
273,0.15077877885424784
274,0.19214762843252256
275,0.16912254056383189
276,0.19854330440606807
277,0.11162449397479557
278,0.1377856924529079
279,0.13542454978541696
280,0.23818014802443507
281,0.0322802137992523
282,0.05587971729758911
283,0.06396440046619452
284,0.036445751783830076
285,0.08324077828625193
286,0.21993048338419238
287,0.22564461525203963
288,0.02894587306177244
289,0.24057692860516836
290,0.03229457459818262
291,0.16926642819986396
292,0.07788887706274401
293,0.22792052317606018
294,0.1413501151737233
295,0.18591992274224153
296,0.13737824835334947
297,0.07813455676448679
298,0.224998801928359
299,0.21423402981115217
300,0.21320339222825982
301,0.15956255712539674
302,0.2317179975115745
303,0.029054165475986105
304,0.17668016522630833
